district,district_alt,district_id,school,school_id,type,street,city,state,zip,gradespan,enrollment,hdphone,url,headname,teacher_count,type_special,lat,lon
Dillon School District Three,Dillon 03,1703999,Latta Elementary School,1703024,E,300 Viking Drive,Latta,SC,29565,PK-4,623,843-752-5295,dillon3.k12.sc.us,Dollie R. Morrell,35,,no_result,no_result
Dillon School District Four,Dillon 04,1704999,Lake View High School,1704002,H,401 East Third Avenue,Lake View,SC,29563,6-12,539,843-759-3009,www.dillon.k12.sc.us/schools/lake_view_high_school/,Edison Arnette,38,,no_result,no_result
Dillon School District Four,Dillon 04,1704999,Lake View Elementary School,1704003,E,1311 Scott Street,Lake View,SC,29563,PK-5,294,843-759-3003,www.dillon.k12.sc.us,Dr. Kimberly Walsh,19,,34.3297924787167,-79.168155956385
Dillon School District Four,Dillon 04,1704999,Dillon High School,1704005,H,1730 Hwy 301 North,Dillon,SC,29536,9-12,826,843-774-1230,dillon.k12.sc.us,Timothy P. GIbbs,48,,no_result,no_result
Dillon School District Four,Dillon 04,1704999,Gordon Elementary School,1704009,E,926 Perry Ave,Dillon,SC,29536,4-5,455,843.774.1227,http://www.dillon.k12.sc.us/schools/gordon _elementary_school,Dr. Michael A. McRae,23,,34.40114302541907,-79.357906
Dillon School District Four,Dillon 04,1704999,Dillon Middle School,1704010,M,"1803 Joan Dr Dillon, SC 29536",Dillon,SC,29563,6-8,728,843-774-1212,www.dillon.k12.sc.us,Rodney Cook,43,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,Summerville High School,1802006,H,"1101 Boonehill Rd,",Summerville,SC,29483,9-12,3164,843-873-6460,https://www.ddtwo.org/SHS,Kenneth Farrell,163,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,Knightsville Elementary School,1802007,E,847 Orangeburg Road,Summerville,SC,29483,PK-5,627,843-873-4851,www.ddtwo.org/KES,Claire Sieber,50,,32.9905356,-80.2238622
Dorchester School District Two,Dorchester 02,1802999,Summerville Elementary School,1802009,E,835 South Main Street,Summerville,SC,29483,PK-5,492,843-873-2372,https://www.ddtwo.org/ses,Katie Barker,37,,33.00977655468562,-80.18418340758619
Dorchester School District Two,Dorchester 02,1802999,James H. Spann Elementary School,1802010,E,901 John McKissick Way,Summerville,SC,29483,PK-5,580,843-873-3050,https://www.ddtwo.org/SPANN ,Shane O. Sanford,47,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,Alston Middle School,1802011,M,500 Bryan Street,Summerville,SC,29483,6-8,951,843-873-3890,https://www.ddtwo.org/AMS,Dr. Michelle Leviner,59,,33.030887,-80.181743
Dorchester School District Two,Dorchester 02,1802999,Rollings Middle School Of The Arts,1802012,M,1635 Beech Hill Road,Summerville,SC,29485,6-8,774,843-873-3610,https://www.ddtwo.org/RMSA,Patrick Pye,46,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,Newington Elementary School,1802013,E,10 KING CHARLES CIR,SUMMERVILLE,SC,29485,PK-5,709,8438713230,www.ddtwo.org/nes,Rachel Cubbage,53,,32.99064508351317,-80.20326701403918
Dorchester School District Two,Dorchester 02,1802999,Flowertown Elementary School,1802014,E,20 King Charles Circle,Summerville,SC,29485,PK-5,755,843-871-7400,https://www.ddtwo.org/FES,Carey Ball Hodge,61,,32.991714133178306,-80.20100752752559
Dorchester School District Two,Dorchester 02,1802999,Charles Dubose Middle School,1802016,M,1005 DuBose School Road,Summerville,SC,29483,6-8,1149,843-875-7012,https://www.ddtwo.org/DMS,Theodore Brinkley,68,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,Oakbrook Elementary School,1802017,E,306 Old Fort Drive,Ladson,SC,29456,PK-5,618,843-821-1165,https://www.ddtwo.org/Domain/969,Kimberly Boutin,43,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,Oakbrook Middle School,1802018,M,113 Musket Loop,Summerville,SC,29483,6-8,1168,8433237146,https://www.ddtwo.org/OMS,Matthew Legare,71,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,Windsor Hill Arts Infused Elementary,1802019,E,8600 William Moultrie Drive,North Charleston,SC,29420,PK-5,664,843-760-9820,https://www.ddtwo.org/WHAIES,Robert Neuner,60,,32.93617395,-80.10147058342488
Dorchester School District Two,Dorchester 02,1802999,Fort Dorchester High School,1802020,H,8500 Patriot Blvd,North Charleston,SC,29420,9-12,2237,843-760-4450,https://www.ddtwo.org/FDHS,"Raymond J. ""Tripp"" Aldredge, III",125,,32.927409499999996,-80.10935521853108
Dorchester School District Two,Dorchester 02,1802999,Beech Hill Elementary School,1802021,E,1001 Beech Hill Road,Summerville,SC,29485,PK-5,890,843-821-3970,https://www.ddtwo.org/BHES,Rene Wyatt Harris,59,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,Gregg Middle School,1802022,M,500 Greenwave Blvd,Summerville,SC,29483,6-8,1212,843-871-3150,https://www.ddtwo.org/gms,William Wilson,71,,32.988127,-80.216666
Dorchester School District Two,Dorchester 02,1802999,Fort Dorchester Elementary School,1802023,E,5201 Old Glory Lane,Summerville,SC,29485,PK-5,877,843-832-5550,https://www.ddtwo.org/Domain/687,Annette M. Pletcher,60,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,Eagle Nest Elementary School,1802024,E,8640 River Oaks Drive,North Charleston,SC,29420,PK-5,734,843-695-2460,https://www.ddtwo.org/Domain/506,Dr. Tamara Diebold,53,,32.9092084,-80.1227317
Dorchester School District Two,Dorchester 02,1802999,William Reeves Elementary,1802025,E,1003 Dubose School Road,Summerville,SC,29483,PK-5,817,843-695-2450,https://sc01916099.schoolwires.net/Page/4884,Natalie Hayes,57,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,River Oaks Middle School,1802026,M,8642 River Oaks Drive,North Charleston,SC,29420,6-8,954,843-695-2470,https://www.ddtwo.org/roms,William Mansor,60,,32.9092084,-80.1227317
Dorchester School District Two,Dorchester 02,1802999,Ashley Ridge High School,1802027,H,9800 Delemar Highway,Summerville,SC,29485,9-12,2215,843-695-4900,https://www.ddtwo.org/ARHS,Brooke M. Matthews,122,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,Joseph R. Pye Elementary,1802028,E,9701 Patriot Blvd,Ladson,SC,29456,PK-5,772,843-695-2979,https://www.ddtwo.org/JPES,Wanda L. Gadsden,54,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,Sand Hill Elementary School,1802029,E,324 Gnarly Oak Lane,Summerville,SC,29485,PK-5,867,843-695-5201,https://www.ddtwo.org/SHES,Ms. Francina Gerald,59,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,Dr. Eugene Sires Elementary,1802030,E,301 Chandler Creek Blvd,Summerville,SC,29483,PK-5,803,843 695 5205,https://www.ddtwo.org/ESES,Mrs. Laura Blanchard,56,,no_result,no_result
Dorchester School District Two,Dorchester 02,1802999,Alston-Bailey Elementary,1802031,E,850 W 5TH NORTH ST,SUMMERVILLE,SC,29483,PK-5,655,843-695-5210,https://www.ddtwo.org/ABES,Vernisa Y. Bodison,47,,33.0338011,-80.1943682
Dorchester District Four,Dorchester 04,1804999,Harleyville Elementary School,1804016,E,1650 East Main Street,Dorchester,SC,29437,PK-5,239,843-462-7671,https://hes.dorchester4.k12.sc.us/,Chaquilla Green,18,,33.151824,-80.371665
Dorchester District Four,Dorchester 04,1804999,St. George Middle School,1804017,M,600 Minus Street,St. George,SC,29477,6-8,304,843-563-3171,https://stgeorge.dorchester4.k12.sc.us/,Benjamin Kennedy,21,,33.193772,-80.577125
Dorchester District Four,Dorchester 04,1804999,Williams Memorial Elementary School,1804018,E,290 South Metts Street,Saint George,SC,29477,PK-5,575,843-563-3231,https://wmesdorchestersc.schoolinsites.com/,Ruth Mims,47,,33.18551739422203,-80.58569615287392
Dorchester District Four,Dorchester 04,1804999,Woodland High School,1804019,H,4128 Highway 78,Dorchester,SC,29437,9-12,615,843-563-5956,https://woodland.dorchester4.k12.sc.us,Adrian Busch,42,,no_result,no_result
Dorchester District Four,Dorchester 04,1804999,Clay Hill Elementary School,1804021,E,387 S. Railroad Ave,Ridgeville,SC,29472,PK-5,147,8438517386,https://clayhill.dorchester4.k12.sc.us/,April Sanders,9,,33.09329176860221,-80.31152532177789
Dorchester District Four,Dorchester 04,1804999,Harleyville-Ridgeville Middle School,1804022,M,1650 East Main Street,Dorchester,SC,29437,6-8,221,843-462-2470,https://hrm.dorchester4.k12.sc.us/,Catherine Yates,16,,33.151824,-80.371665
Edgefield County School District,Edgefield 01,1901999,Strom Thurmond High School,1901002,H,1131 Columbia Rd,Johnston,SC,29832,9-12,771,803-275-1768,sths.edgefield.k12.sc.us,Robert A. Grimm,43,,no_result,no_result
Edgefield County School District,Edgefield 01,1901999,Douglas Elementary School,1901003,E,215 S.E. Diggs Road,Trenton,SC,29847,PK-5,190,803-275-1752,https://des.edgefield.k12.sc.us,Beth Blum,23,,33.73324718560215,-81.83456594030511
Edgefield County School District,Edgefield 01,1901999,Johnston Elementary School,1901005,E,514 Lee Street Johnston Elementary School,Johnston,SC,29832,PK-5,264,8032751755,https://jes.edgefield.k12.sc.us/,Tammy Martin,26,,no_result,no_result
Edgefield County School District,Edgefield 01,1901999,W. E. Parker Elementary School,1901007,E,41 Crest Road,Edgefield,SC,29824,PK-5,398,803-637-4020,https://wep.edgefield.k12.sc.us,Jaime S. Creasy,33,,33.803559500000006,-81.92739499999999
Edgefield County School District,Edgefield 01,1901999,Merriwether Elementary School,1901008,E,565 springhaven drive,"North Augusta, South Carolina",SC,29860,PK-5,754,8032799993,https://mes.edgefield.k12.sc.us/,Fredrick Bruce Lee,50,,no_result,no_result
Edgefield County School District,Edgefield 01,1901999,Johnston-Edegfield-Trenton Middle School,1901009,M,1095 Columbia Rd.,Johnston,SC,29832,6-8,441,803-275-1997,https://jet.edgefield.k12.sc.us/,Debbie K. Courtney,36,,no_result,no_result
Edgefield County School District,Edgefield 01,1901999,Merriwether Middle School,1901010,M,430 Murrah Road,North Augusta,SC,29860,6-8,389,803-279-2511,https://mms.edgefield.k12.sc.us/home,Mindy Clark,25,,no_result,no_result
Fairfield County School District,Fairfield 01,2001999,Fairfield Middle School,2001001,M,728 US Highway 321 Bypass South,"Winnsboro, SC",SC,29180,7-8,348,803-635-4270,http://fms.fairfield1.org,Jamie R. Brunson,39,,no_result,no_result
Fairfield County School District,Fairfield 01,2001999,Kelly Miller Elementary School,2001008,E,255 KELLY MILLER RD,Winnsboro,SC,29180,PK-6,217,803-635-2961,kmes.fairfield1.org,Kathy Woodard,25,,no_result,no_result
Fairfield County School District,Fairfield 01,2001999,Mccrorey-Liston School Of Technology,2001009,E,1978 State Highway 215 South,Blair,SC,29015,PK-6,133,8036359490,https://sites.google.com/a/fcsdchromebooks.us /mccrorey-liston/,15,13,,no_result,no_result
Fairfield County School District,Fairfield 01,2001999,Geiger Elementary,2001012,E,150 T.M. Cook,Ridgeway,SC,29130,PK-6,263,8033378288,https://ges.fairfield1.org/,Myra Bramlett,24,,no_result,no_result
Fairfield County School District,Fairfield 01,2001999,Fairfield Central High School,2001013,H,836 US Highway 321 Bypass South,Winnsboro,SC,29180,9-12,719,8036351441,fchs.fairfield1.org,Dr. Tracie Swilley,58,,no_result,no_result
Fairfield County School District,Fairfield 01,2001999,Fairfield Elementary School,2001014,E,175 Medley Road,Winnsboro,SC,29180,PK-6,519,803-635-5594,fes.fairfield1.org,Dr. Tammy F. Martin,50,,no_result,no_result
Fairfield County School District,Fairfield 01,2001999,Fairfield Magnet School For Math And Science,2001015,E,1647 Highway 321 By-Pass North,Winnsboro,SC,29180,PK-6,215,803-635-4810,fmsms.fairfield1.org,Dr. Shayera Whitfield,24,,no_result,no_result
Florence One Schools,Florence 01,2101999,John W. Moore Middle School,2101002,M,191 Westfield Drive,Florence,SC,29501,6-7,746,8436648171,https://www.f1s.org/johnwmoore,April Leroy,62,,34.201041,-79.8480599
Florence One Schools,Florence 01,2101999,South Florence High School,2101004,H,3200 South Irby Street,Florence,SC,29505,9-12,1632,843-664-8190,https://www.f1s.org/southflorence,Shand Josey,102,,34.13197945,-79.77184434848499
Florence One Schools,Florence 01,2101999,Williams Middle School,2101005,M,1119 N IRBY ST,FLORENCE,SC,29501,7-8,736,843-664-8162,https://www.f1s.org/williams,Kendra Green,62,,34.212367262626266,-79.76650903030303
Florence One Schools,Florence 01,2101999,Wilson High School,2101006,H,1411 Old Marion Hwy,Florence,SC,29501,9-12,1241,843-664-8440,https://www.f1s.org/Wilson,Dr. Eric D. Robinson,95,,34.22477,-79.724454
Florence One Schools,Florence 01,2101999,Briggs Elementary School,2101008,E,1012 Congaree Drive,Florence,SC,29501,K-6,510,843-664-8169,f1s.org/briggs,Tara Newton,41,,34.17749828235079,-79.78113194989884
Florence One Schools,Florence 01,2101999,Carver Elementary Magnet School,2101009,E,515 N CASHUA DR,FLORENCE,SC,29501,K-5,571,843-664-8156,https://www.f1s.org/Carver,Josie Little,42,,34.20195745989188,-79.80040939888364
Florence One Schools,Florence 01,2101999,Delmae Heights Elementary School,2101010,E,1211 South Cashua Drive,Florence,SC,29506,K-5,862,843-664-8448,www.fsd1.org/delmae,Roy Ann Jolley,50,,34.171828540540545,-79.81725316216217
Florence One Schools,Florence 01,2101999,Greenwood Elementary School,2101011,E,2300 East Howe Springs Rd.,Florence,SC,29505,K-6,673,843-664-8451,https://www.fsd1.org/schools/greenwood,Dr. Susan H. Collins,48,,34.14426500831816,-79.73009661324672
Florence One Schools,Florence 01,2101999,Mclaurin Elementary,2101012,E,1400 McMillan Lane,Florence,SC,29506,PK-5,847,843-664-8457,www.FSD1.org/schools/mclaurin,Deborah Cribb,59,,no_result,no_result
Florence One Schools,Florence 01,2101999,Theodore Lester Elementary,2101013,E,3501 E Palmetto Street,Florence,SC,29506,K-6,383,843-664-8459,https://www.f1s.org/TheodoreLester,Eldora Williams,40,,34.196633403220794,-79.69634999950256
Florence One Schools,Florence 01,2101999,West Florence Hs,2101014,H,221 N BELTLINE DR,FLORENCE,SC,29501,9-12,1655,843-664-8472,https://www.f1s.org/westflorence,MATTHEW DOWDELL,99,,34.18833,-79.824477
Florence One Schools,Florence 01,2101999,North Vista Elementary,2101016,E,1100 North Irby Street,Florence,SC,29501,PK-6,592,843-664-8159,https://www.f1s.org/northvista,Sharon R. Dixon,47,,34.211502,-79.76684
Florence One Schools,Florence 01,2101999,Royall Elementary School,2101017,E,1101 Cheraw Drive,Florence,SC,29501,K-6,564,843-664-8167,f1s.org/Royall,Julie Smith,45,,34.178865,-79.790856
Florence One Schools,Florence 01,2101999,Savannah Grove Elementary School,2101018,E,2348 SAVANNAH GROVE ROAD,EFFINGHAM,SC,29541,K-6,531,843-664-8463,https://www.f1s.org/SavannahGrove,LaTonya Yates-Ford,37,,no_result,no_result
Florence One Schools,Florence 01,2101999,Dewey L. Carter Elementary School,2101019,E,4937 S. Irby Street,Effingham,SC,29541,PK-6,662,8436648479,https://www.f1s.org/deweylcarter,Wendy J Frazier,52,,34.0619477,-79.7601142
Florence One Schools,Florence 01,2101999,Henry Timrod Elementary School,2101020,E,1901 E. Old Marion Hwy.,Florence,SC,29506,K-6,390,843-664-8454,https://www.f1s.org/timrod,Elizabeth Jackson,31,,34.229665530296,-79.70480162978414
Florence One Schools,Florence 01,2101999,Wallace Gregg Elementary,2101021,E,515 Francis Marion Road,Florence,SC,29506,K-6,317,843-664-8481,https://www.f1s.org/wallacegregg,Tara King,29,,34.1860678,-79.657318
Florence One Schools,Florence 01,2101999,Southside Middle School,2101022,M,200 East Howe Springs Road,Florence,SC,29505,7-8,828,843-664-8467,www.f1s.org/southside,Jeffery A. Gaines,64,,34.133582,-79.770022
Florence One Schools,Florence 01,2101999,Henry L. Sneed Middle,2101050,M,1102 Ebenezer Road,Florence,SC,29501,7-8,608,843-673-1199,https://www.f1s.org/site/default.aspx?Page Type=3&ModuleInstanceID=202&View ID=82ad4dc1-ff8e-4c91,Ronald Oates,61,,34.17097937628012,-79.84694159509313
Florence One Schools,Florence 01,2101999,Lucy T. Davis Elementary School,2101051,E,201 Westfield Drive,Florence,SC,29501,K-5,535,843-665-5977,https://www.f1s.org/LucyTDavis,Sonya Graves,39,,34.201041,-79.8480599
Florence One Schools,Florence 01,2101999,Palmetto Youth Academy Charter,2101600,E,1209 N. Douglas Street,Florence,SC,29501,K-6,76,843-679-7070,palmettoyouthacademy.com,Yvonne Brown-Burgess,1,charter,34.21474194612762,-79.77266226166945
Florence County School District 2,Florence 02,2102999,Hannah - Pamplico High School,2102024,H,2055 South Pamplico Highway,Pamplico,SC,29583,9-12,332,843-493-5781,https://www.fsd2.org/domain/10,Sterling J. Mosby,24,,33.9461836,-79.5509976
Florence County School District 2,Florence 02,2102999,Hannah-Pamplico Elementary/Middle Schoo,2102028,E,2131 South Pamplico Highway,Pamplico,SC,29583,PK-8,762,843-493-2061,https://www.fsd2.org/domain/9,H. Legrande Richardson,47,,33.941944,-79.549646
Florence School District Three,Florence 03,2103999,Lake City High School,2103029,H,652 N. Matthew Road,Lake City,SC,29560,9-12,733,843-374-5119,www.lchs.florence3.k12.sc.us ,Dr. Fred Moore,53,,no_result,no_result
Florence School District Three,Florence 03,2103999,J. C. Lynch Elementary School,2103036,E,124 Hicks Road,Coward,SC,20530,PK-6,400,8436992114,http://www.jcles.florence3.k12.sc.us/,Angela A. Tanner,26,,33.9727813745409,-79.75146661707792
Florence School District Three,Florence 03,2103999,Olanta Creative Arts And Science Magnet School,2103037,E,312 North Jones Rd.,Olanta,SC,29114,PK-6,253,843-396-4457,http://oes.florence3.k12.sc.us,Tonyelle L. Thomas,16,,33.93814242857143,-79.93310528571429
